,國文,英文,數學,社會,自然
0,13,11,10,8,15
1,12,9,12,14,7
2,11,7,12,6,7
3,15,10,13,6,6
4,11,15,15,10,10
5,13,11,9,12,10
6,13,9,15,13,7
7,10,13,13,9,11
8,7,11,11,14,10
9,12,9,11,11,7
10,8,6,9,7,12
11,10,8,6,8,10
12,12,7,15,14,11
13,12,6,12,8,11
14,10,8,10,6,7
15,6,15,15,14,7
16,9,10,9,12,8
17,11,10,11,14,8
18,12,7,6,7,7
19,9,8,12,14,8
20,12,11,9,14,10
21,14,12,9,7,14
22,10,13,14,7,12
23,9,13,11,12,12
24,10,13,9,15,8
25,8,12,6,13,10
26,12,14,7,6,11
27,11,10,15,15,6
28,9,6,15,14,12
29,15,11,15,10,6
30,11,14,14,8,13
31,14,8,10,9,12
32,13,14,12,14,15
33,10,9,8,14,13
34,8,9,6,9,7
35,13,9,7,8,11
36,12,10,8,14,13
37,9,11,8,10,7
38,8,11,14,11,8
39,14,11,11,13,13
40,8,6,8,7,14
41,15,11,7,9,6
42,12,14,11,11,9
43,9,12,8,15,7
44,14,15,8,14,12
45,8,7,6,12,6
46,12,6,6,14,11
47,9,7,9,11,13
48,14,12,6,8,11
49,12,14,8,8,13
50,15,15,9,12,10
51,7,11,12,10,9
52,13,10,10,10,7
53,10,8,7,8,15
54,14,13,7,14,11
55,14,15,14,15,10
56,6,13,12,11,11
57,13,9,12,13,8
58,7,12,7,11,8
59,12,13,7,11,14
60,8,11,15,10,11
61,14,15,13,10,14
62,14,14,6,10,6
63,7,12,13,8,13
64,9,7,10,11,15
65,8,6,12,15,6
66,8,11,8,8,6
67,15,9,13,13,9
68,11,11,10,8,6
69,10,11,7,10,15
70,14,11,9,8,6
71,7,12,14,15,10
72,9,13,7,8,7
73,10,12,11,14,6
74,9,11,14,15,8
75,7,6,8,8,8
76,12,9,6,6,7
77,14,7,13,7,9
78,14,12,10,15,10
79,15,15,8,13,13
80,8,7,9,15,7
81,7,7,7,9,13
82,9,12,13,7,13
83,7,10,15,15,7
84,9,8,12,8,12
85,12,8,6,10,14
86,9,12,12,11,6
87,6,10,6,8,12
88,10,11,7,15,10
89,6,13,10,7,12
90,6,6,11,15,15
91,12,6,10,15,11
92,11,11,14,8,15
93,13,15,10,10,12
94,10,8,6,13,11
95,11,13,9,10,10
96,13,13,15,15,14
97,6,12,8,10,9
98,6,15,15,14,7
99,12,11,11,10,11
